dt , barometer (mbar), pressure (mbar), altimeter (mbar), inTemp (C), outTemp (C), inHumidity	 (%), outHumidity	 (%), rainRate (mm/hour), rain (mm), dewpoint (C), windchill (C), heatindex (C), ET (mm), rxCheckPercent	 (%), windSpeed (m/s), windDir (grad), windGust (m/s), windGustDir (grad)
2023-11-21 00:00:00, 971.850, 971.850, 971.550, 24.4, 0.6, 11, 62, 0.0, 0.0, -5.8, -3.8, 0.6, 0.0, 81, 4.5, 202.5, 6.3, 225.0
2023-11-21 00:01:00, 971.816, 971.816, 971.516, 24.6, 0.6, 11, 62, 0.0, 0.0, -5.9, -2.5, 0.6, 0.0, 90, 2.7, 292.5, 4.9, 202.5
2023-11-21 00:02:00, 971.884, 971.884, 971.584, 24.6, 0.6, 12, 62, 0.0, 0.0, -5.9, -3.3, 0.6, 0.0, 85, 3.6, 247.5, 5.4, 247.5
2023-11-21 00:03:00, 971.951, 971.951, 971.651, 24.6, 0.6, 11, 62, 0.0, 0.0, -5.9, -4.2, 0.6, 0.0, 77, 4.9, 225.0, 7.6, 225.0
2023-11-21 00:04:00, 972.087, 972.087, 971.787, 24.6, 0.6, 11, 62, 0.0, 0.0, -5.9, -3.9, 0.6, 0.0, 90, 4.5, 270.0, 11.2, 270.0
2023-11-21 00:05:00, 972.087, 972.087, 971.787, 24.6, 0.5, 11, 62, 0.0, 0.0, -5.9, -4.7, 0.5, 0.0, 77, 5.8, 270.0, 10.3, 270.0
2023-11-21 00:06:00, 972.087, 972.087, 971.787, 24.6, 0.5, 11, 62, 0.0, 0.0, -5.9, -3.7, 0.5, 0.0, 90, 4.0, 292.5, 6.3, 270.0
2023-11-21 00:07:00, 972.121, 972.121, 971.821, 24.6, 0.5, 11, 60, 0.0, 0.0, -6.4, -5.1, 0.5, 0.0, 90, 6.7, 270.0, 9.8, 270.0
2023-11-21 00:08:00, 972.019, 972.019, 971.719, 24.6, 0.6, 12, 60, 0.0, 0.0, -6.3, -4.9, 0.6, 0.0, 81, 6.3, 270.0, 8.5, 247.5
2023-11-21 00:09:00, 971.951, 971.951, 971.651, 24.6, 0.6, 11, 61, 0.0, 0.0, -6.1, -4.9, 0.6, 0.0, 85, 6.3, 247.5, 8.9, 270.0
2023-11-21 00:10:00, 971.917, 971.917, 971.617, 24.6, 0.6, 11, 61, 0.0, 0.0, -6.1, -4.2, 0.6, 0.0, 81, 4.9, 292.5, 6.7, 0.0
2023-11-21 00:11:00, 971.647, 971.647, 971.347, 24.7, 0.6, 14, 61, 0.0, 0.0, -6.1, -4.4, 0.6, 0.0, 85, 5.4, 225.0, 6.7, 225.0
2023-11-21 00:12:00, 971.850, 971.850, 971.550, 24.7, 0.5, 12, 61, 0.0, 0.0, -6.1, -5.3, 0.5, 0.0, 85, 7.2, 225.0, 9.8, 247.5
2023-11-21 00:13:00, 971.884, 971.884, 971.584, 24.7, 0.6, 11, 61, 0.0, 0.0, -6.1, -5.4, 0.6, 0.0, 85, 7.6, 270.0, 10.3, 270.0
2023-11-21 00:14:00, 971.917, 971.917, 971.617, 24.7, 0.5, 12, 62, 0.0, 0.0, -5.9, -4.7, 0.5, 0.0, 85, 5.8, 247.5, 8.5, 270.0
2023-11-21 00:15:00, 971.951, 971.951, 971.651, 24.7, 0.5, 11, 62, 0.0, 0.0, -5.9, -4.2, 0.5, 0.0, 81, 4.9, 225.0, 8.0, 270.0
2023-11-21 00:16:00, 971.884, 971.884, 971.584, 24.7, 0.5, 11, 62, 0.0, 0.0, -5.9, -5.3, 0.5, 0.0, 85, 7.2, 247.5, 10.3, 247.5
2023-11-21 00:17:00, 971.850, 971.850, 971.550, 24.7, 0.5, 11, 62, 0.0, 0.0, -5.9, -4.0, 0.5, 0.0, 90, 4.5, 225.0, 5.8, 225.0
2023-11-21 00:18:00, 971.917, 971.917, 971.617, 24.7, 0.5, 12, 63, 0.0, 0.0, -5.7, -3.0, 0.5, 0.0, 77, 3.1, 225.0, 4.9, 225.0
2023-11-21 00:19:00, 971.951, 971.951, 971.651, 24.7, 0.5, 11, 63, 0.0, 0.0, -5.7, -4.5, 0.5, 0.0, 85, 5.4, 247.5, 7.2, 225.0
2023-11-21 00:20:00, 971.951, 971.951, 971.651, 24.7, 0.5, 11, 63, 0.0, 0.0, -5.7, -3.0, 0.5, 0.0, 81, 3.1, 247.5, 3.6, 247.5
2023-11-21 00:21:00, 971.951, 971.951, 971.651, 24.7, 0.5, 11, 63, 0.0, 0.0, -5.7, -4.0, 0.5, 0.0, 81, 4.5, 225.0, 7.2, 225.0
2023-11-21 00:22:00, 971.850, 971.850, 971.550, 24.7, 0.5, 11, 62, 0.0, 0.0, -5.9, -4.5, 0.5, 0.0, 90, 5.4, 270.0, 8.5, 247.5
2023-11-21 00:23:00, 972.527, 972.527, 972.227, 24.7, 0.5, 12, 61, 0.0, 0.0, -6.1, -4.0, 0.5, 0.0, 81, 4.5, 292.5, 6.3, 270.0
2023-11-21 00:24:00, 972.527, 972.527, 972.227, 24.7, 0.6, 13, 62, 0.0, 0.0, -5.9, -2.5, 0.6, 0.0, 85, 2.7, 225.0, 4.9, 247.5
2023-11-21 00:25:00, 971.884, 971.884, 971.584, 24.7, 0.6, 11, 61, 0.0, 0.0, -6.1, -3.9, 0.6, 0.0, 81, 4.5, 225.0, 7.6, 225.0
2023-11-21 00:26:00, 971.782, 971.782, 971.482, 24.7, 0.6, 11, 61, 0.0, 0.0, -6.1, -4.9, 0.6, 0.0, 85, 6.3, 202.5, 7.6, 225.0
2023-11-21 00:27:00, 971.782, 971.782, 971.482, 24.7, 0.6, 11, 62, 0.0, 0.0, -5.9, -4.7, 0.6, 0.0, 85, 5.8, 270.0, 8.9, 270.0
2023-11-21 00:28:00, 971.917, 971.917, 971.617, 24.7, 0.6, 12, 63, 0.0, 0.0, -5.7, -4.4, 0.6, 0.0, 81, 5.4, 247.5, 10.3, 292.5
2023-11-21 00:29:00, 971.917, 971.917, 971.617, 24.7, 0.6, 11, 64, 0.0, 0.0, -5.5, -4.7, 0.6, 0.0, 85, 5.8, 270.0, 10.7, 270.0
2023-11-21 00:30:00, 971.917, 971.917, 971.617, 24.8, 0.5, 12, 64, 0.0, 0.0, -5.5, -4.5, 0.5, 0.0, 81, 5.4, 247.5, 8.5, 270.0
2023-11-21 00:31:00, 971.850, 971.850, 971.550, 24.8, 0.4, 11, 65, 0.0, 0.0, -5.4, -4.0, 0.4, 0.0, 85, 4.5, 292.5, 8.5, 247.5
2023-11-21 00:32:00, 971.884, 971.884, 971.584, 24.8, 0.4, 11, 65, 0.0, 0.0, -5.4, -4.0, 0.4, 0.0, 85, 4.5, 247.5, 6.3, 270.0
2023-11-21 00:33:00, 971.884, 971.884, 971.584, 24.7, 0.4, 11, 65, 0.0, 0.0, -5.4, -4.0, 0.4, 0.0, 90, 4.5, 247.5, 8.0, 247.5
2023-11-21 00:34:00, 972.019, 972.019, 971.719, 24.7, 0.4, 11, 65, 0.0, 0.0, -5.4, -5.4, 0.4, 0.0, 81, 7.2, 247.5, 10.3, 247.5
2023-11-21 00:35:00, 971.951, 971.951, 971.651, 24.7, 0.4, 11, 64, 0.0, 0.0, -5.6, -4.3, 0.4, 0.0, 81, 4.9, 292.5, 7.6, 247.5
